Nome_Escola,CEP,Vagas,Latitude,Longitude
COLEGIO SÃO PAULO,22080030,19,-22.9697777,-43.1868592
ESCOLA MUNICIPAL TOBIAS BARRETO,20745125,28,-22.900686,-43.3036675
ESCOLA MUNICIPAL SERGIO VIEIRA DE MELLO,22441050,19,-22.978989,-43.2224888
ESCOLA ESTADUAL MUNICIPALIZADA SANTA BÁRBARA,26920000,27,-22.5338785,-43.5724812
ESCOLA MUNICIPAL HEITOR DANTAS,26285320,30,-22.7478309,-43.4521781
ESCOLA MUNICIPAL VEREADOR OSDEVALDO MARINS DA MATA,24945000,15,-22.9473722,-42.9124955
ESCOLA ESTADUAL ALMIRANTE PROTOGENES,28650000,19,-22.0541338,-42.5236356
COLÉGIO ESTADUAL DOUTOR GALDINO DO VALLE FILHO,28625140,16,-22.2887547,-42.5360447
ESCOLA MUNICIPAL ROSE KLABIN,21675440,26,-22.8463673,-43.372833
ESCOLA MUNICIPAL FÉLIX PACHECO,20740260,29,-22.8934547,-43.3115886
ESCOLA MUNICIPAL ISAIAS ALVES,21675040,28,-22.8447271,-43.3649045
COLÉGIO ESTADUAL DOUTOR JOÃO BAZET,28613560,18,-22.2914756,-42.5320998
ESCOLA MUNICIPAL LIDDY MIGNONE,26950000,30,-22.4313914,-43.4289497
COLEGIO HELIO ALONSO,20780020,13,-22.9003671,-43.2759606
ESCOLA MUNICIPAL THOMAS JEFFERSON,21530014,14,-22.8287705,-43.3454822
ESCOLA SAO CRISTOVAO,25640040,26,-22.5227598,-43.1830253
CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,20511280,21,-22.9317063,-43.2427706
COLEGIO ESTADUAL MESTRE HIRAN,26255140,14,-22.7561319,-43.4607419
ESCOLA MUNICIPAL MARANHAO,20750092,17,-22.8814021,-43.2934758
COLEGIO ESTADUAL ARRUDA NEGREIROS,26286020,11,-22.7525826,-43.4639136
ESCOLA MUNICIPAL ARAÚJO PORTO ALEGRE,20531080,23,-22.972707,-43.284099
ESCOLA MUNICIPAL PROFESSORA NAIR DE ARAÚJO RODRIGUES,28630330,25,-22.236844,-42.5500587
COLÉGIO SANTO ANTÔNIO MARIA ZACCARIA,22220000,21,-22.9279602,-43.1807701
ESCOLA MUNICIPAL MENDES VIANA,21235280,15,-22.8375268,-43.3320636
ESCOLA MUNICIPAL RUGENDAS,21310260,25,-22.879918,-43.3373771
COLÉGIO SÃO JUDAS TADEU,20740321,20,-22.8959587,-43.3021819
COLEGIO MERCÚRIO,21532470,18,-22.8054158,-43.3564639
COLÉGIO ESTADUAL PRINCESA ISABEL,25650025,12,-22.5300645,-43.2110285
