Nome_Escola,CEP,Vagas,Latitude,Longitude
COLEGIO LOGOSÓFICO GONZÁLEZ PECOTCHE,22290020,121,-22.9538622,-43.1821537
ESCOLA ELEVA,22290040,176,-22.9533856,-43.1782544
ESCOLA MUNICIPAL JOÃO SALDANHA,22290010,196,-22.9533954,-43.1824168
COLÉGIO PENSI,22230060,136,-22.9370897,-43.1775269
ESCOLA BRITÂNICA,22290240,183,-22.9511149,-43.1809269
COLÉGIO ESTADUAL PEDRO ÁLVARES CABRAL - RP 104,22021040,110,-22.9670015,-43.1823004
COLEGIO MALLET SOARES - B 121,22061020,200,-22.9758367,-43.1906397
COLÉGIO PINHEIRO GUIMARÃES - HG 43,22040020,106,-22.9684128,-43.1838581
ESCOLA MUNICIPAL DOUTOR CÍCERO PENNA - A 1976,22021001,189,-22.9676181,-43.1787326
1/2 - COLÉGIO SAGRADO CORAÇÃO DE MARIA - T 56,22030002,200,-22.9683555257,-43.1884878708
1/2 - PENSI - COLEGIO E CURSO - BI 85,22060020,198,-22.9759689,-43.1912909
1/2 ESCOLA MUNICIPAL SENADOR ALENCASTRO GUIMARÃES - PÇ CAV,22040030,87,-22.9647539,-43.1806775
CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,20511280,134,-22.9317063,-43.2427706
COLÉGIO DOS SANTOS ANJOS,20530050,173,-22.9363115,-43.2432818
COLÉGIO ELZA CAMPOS,20511190,114,-22.9269221,-43.2378235
COLÉGIO MARISTA SÃO JOSÉ,20530001,111,-22.9325728,-43.2410248
ESCOLA MUNICIPAL ALMIRANTE BARROSO,20510180,166,-22.9337478,-43.2379558
ESCOLA MUNICIPAL ARAÚJO PORTO ALEGRE,20531080,175,-22.972707,-43.284099
ESCOLA MUNICIPAL BARÃO DE ITACURUSSÁ,20510230,200,-22.9324885,-43.2380468
ESCOLA MUNICIPAL PRUDENTE DE MORAES,20521210,115,-22.9293912,-43.2324074
ESCOLA MUNICIPAL SOARES PEREIRA,20511001,117,-22.9228961,-43.2361332
ESCOLA PALAS (R. CONDE DE BONFIM),20530002,190,-22.9322313,-43.2406073
ESCOLA PALAS (R. JOSÉ HIGINO),20520201,195,-22.9325728,-43.2410248
ESCOLA PALAS (R. SÃO RAFAEL),20530380,75,-22.9449142,-43.2550805
JARDIM ESCOLA MUNDO INFANTIL,20510130,171,-22.9286416,-43.2439914
REDE MV1 - COLÉGIO MV1 JÚNIOR,20510060,131,-22.9338086635,-43.2402547974
COLEGIO CELIO RODRIGUES,20780200,187,-22.8909221,-43.2709656
COLEGIO SANTA MONICA,20780230,173,-22.8933613,-43.2729826
ESCOLA MUNICIPAL JOSÉ LINS DO REGO,20785170,200,-22.8905662,-43.2666333
ESCOLA RUTH SANTANA,20780050,116,-22.8978226,-43.2730018
ESCOLA MUNICIPAL MANOEL BOMFIM,20771350,177,-22.8846732,-43.2748686
COLEGIO ERNANI CARDOSO,20780140,199,-22.9022201,-43.2718464
ESCOLA MUNICIPAL MEDEIROS E ALBUQUERQUE,20780170,128,-22.9001713,-43.2688188
ESCOLA MUNICIPAL RIO DE JANEIRO,20780340,200,-22.8939636,-43.2653673
COLEGIO HELIO ALONSO,20780020,126,-22.9003671,-43.2759606
GINASIO ESTADUAL CENTRAL DO BRASIL,20775100,155,-22.8982226,-43.2753584
ESCOLA MUNICIPAL DELFIM MOREIRA,20975020,82,-22.8939627,-43.2523761
ESCOLA MUNICIPAL FINLANDIA,22783116,99,-22.9762486,-43.4157604
ESCOLA MUNICIPAL BRIGADEIRO FARIA LIMA,20745180,200,-22.9062526,-43.3083659
ESCOLA MUNICIPAL VIRGILIO DE MELO FRANCO,20740440,102,-22.902594,-43.3106921
COLEGIO NACIONAL,21311060,107,-22.8865276,-43.3286121
