Nome_Escola,CEP,Vagas,Latitude,Longitude
ESCOLA DINAMIS,22251050,2,-22.947936733333336,-43.18585996666667
ESCOLA MUNICIPAL ALBERT SCHWEITZER,22245120,5,-22.939844475,-43.19148335
ESCOLA MUNICIPAL ALMIRANTE BARROSO,20510180,3,-22.9308434,-43.23057035555556
ESCOLA MUNICIPAL CARLOS MAGNO LEGENTIL MATTOS,24901010,4,-22.9182146,-42.8200594
ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO,24943195,2,-22.913056,-42.9287623
ESCOLA MUNICIPAL DELFIM MOREIRA,20975020,3,-22.8938929,-43.2523392
COLEGIO NACIONAL,21311060,4,-22.8851093,-43.3282045
COLEGIO ESTADUAL RUY BARBOSA,25635090,2,-22.5289474,-43.1730454
ESCOLA ESTADUAL MANOEL TEIXEIRA CAMPOS JUNIOR,27197000,2,-22.518744625,-44.00158305
ESCOLA MUNICIPAL VIVA,28470000,3,-21.57833503333333,-42.23370496666667
