CEP,Nome_Escola,Vagas,Latitude,Longitude
22040020,COLÉGIO PINHEIRO GUIMARÃES - HG 43,100,-22.9684128,-43.1838581
27512060,CIEP 059 - ESCOLA MUNICIPAL PROFESSORA MARIA DULCE FREIRE CHAVES,100,-22.4659346,-44.4351833
28880000,COLÉGIO ESTADUAL BARRA DE SÃO JOÃO,100,-22.5742501,-41.9878239
21340340,ESCOLA MUNICIPAL WALDOMIRO POTSCH,100,-22.8720057,-43.3554032
25665442,ESCOLA SAO FRANCISCO DE ASSIS,100,-22.4909598,-43.2177135
23860000,ESCOLA MUNICIPAL CORONEL MOREIRA DA SILVA,100,-22.9598984,-44.0413146
27511120,ESCOLA ESTADUAL DR. JOÃO MAIA,100,-22.4698842,-44.4478513
28616260,ESCOLA MUNICIPAL JUSCELINO KUBITSCHEK DE OLIVEIRA,100,-22.2949823,-42.5062437
26285490,COLEGIO ESTADUAL MILTON CAMPOS,100,-22.7463156,-43.4546705
20750340,ESCOLA MUNICIPAL ANTONIO PEREIRA,100,-22.8693168,-43.3061814
21340420,ESCOLA MUNICIPAL WALDEMAR FALCÃO,100,-22.8758801,-43.3552726
28650000,ESCOLA ESTADUAL ALMIRANTE PROTOGENES,100,-22.0541338,-42.5236356
22040030,1/2 ESCOLA MUNICIPAL SENADOR ALENCASTRO GUIMARÃES - PÇ CAV,100,-22.9647539,-43.1806775
28605300,ESCOLA ESTADUAL JÚLIO SALUSSE,100,-22.263179,-42.5222675
28610190,COLÉGIO NOSSA SENHORA DAS DORES,100,-22.2887261,-42.5340796
28757000,ESCOLA ESTADUAL DOUTOR ELIAS,100,-22.2029232,-42.2532466
24901010,ESCOLA MUNICIPAL CARLOS MAGNO LEGENTIL MATTOS,100,-22.9164917,-42.8199477
25620180,COLEGIO SANTA ISABEL - ASVP,100,-22.5112498,-43.1779306
26230590,ESCOLA MUNICIPAL PROFESSOR RUY DE QUEIROZ,100,-22.7681307,-43.4171294
20740210,ESCOLA MUNICIPAL SÉRVULO DE LIMA,100,-22.889144,-43.315403
