Nome_Escola,CEP,Vagas
COLÉGIO IMACULADA CONCEIÇÃO,22250040,380
COLEGIO LOGOSÓFICO GONZÁLEZ PECOTCHE,22290020,276
COLÉGIO SANTO INÁCIO,22260000,289
ESCOLA ADVENTISTA BOTAFOGO,22260100,278
ESCOLA DINAMIS,22251050,288
ESCOLA ELEVA,22290040,279
ESCOLA JOAQUIM NABUCO,22280020,275
ESCOLA MUNICIPAL JOÃO SALDANHA,22290010,281
ESCOLA MUNICIPAL PRESIDENTE ARTHUR DA COSTA E SILVA,22251030,286
ESCOLA OLM/BOTAFOGO,22271022,277
COLÉGIO PENSI,22230060,284
COLÉGIO PEDRO II (PEDRÃO),22261001,284
ESCOLA BRITÂNICA,22290240,270
COLEGIO ESTADUAL INFANTE DOM HENRIQUE - BRO 433,22020010,283
COLÉGIO ESTADUAL PEDRO ÁLVARES CABRAL - RP 104,22021040,279
COLEGIO MALLET SOARES - B 121,22061020,277
COLÉGIO PINHEIRO GUIMARÃES - HG 43,22040020,284
ESCOLA MUNICIPAL DOM AQUINO CORREA - BR 204,22011002,285
ESCOLA MUNICIPAL DOUTOR CÍCERO PENNA - A 1976,22021001,284
ESCOLA MUNICIPAL ROMA - PÇ LIDO,22020030,278
1/2 - COLÉGIO SAGRADO CORAÇÃO DE MARIA - T 56,22030002,284
1/2 - ESCOLA MUNICIPAL DOUTOR CÓCIO BARCELLOS - BI 34,22050030,274
1/2 - PENSI - COLEGIO E CURSO - BI 85,22060020,269
1/2 ESCOLA MUNICIPAL SENADOR ALENCASTRO GUIMARÃES - PÇ CAV,22040030,272
ESCOLA MUNICIPAL SÃO TOMAS DE AQUINO - PÇ AJN,22010020,277
CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,20511280,271
COLÉGIO BATISTA SHEPARD,20520412,270
COLÉGIO DOS SANTOS ANJOS,20530050,277
COLÉGIO ELZA CAMPOS,20511190,281
COLÉGIO MARISTA SÃO JOSÉ,20530001,281
COLÉGIO SANTA TERESA DE JESUS,20550010,288
ESCOLA MUNICIPAL ALMIRANTE BARROSO,20510180,274
ESCOLA MUNICIPAL ARAÚJO PORTO ALEGRE,20531080,287
ESCOLA MUNICIPAL BARÃO DE ITACURUSSÁ,20510230,287
ESCOLA MUNICIPAL GENERAL EUCLYDES DE FIGUEIREDO,20550035,272
ESCOLA MUNICIPAL PRUDENTE DE MORAES,20521210,276
ESCOLA MUNICIPAL SOARES PEREIRA,20511001,273
ESCOLA PALAS (R. CONDE DE BONFIM),20530002,270
ESCOLA PALAS (R. JOSÉ HIGINO),20520201,286
ESCOLA PALAS (R. SÃO RAFAEL),20530380,275
JARDIM ESCOLA MUNDO INFANTIL,20510130,272
REDE MV1 - COLÉGIO MV1 JÚNIOR,20510060,287
COLEGIO CELIO RODRIGUES,20780200,278
COLEGIO SANTA MONICA,20780230,272
ESCOLA MUNICIPAL JEAN MERMOZ,20785290,271
ESCOLA MUNICIPAL JOSÉ LINS DO REGO,20785170,281
ESCOLA RUTH SANTANA,20780050,281
ESCOLA MUNICIPAL MANOEL BOMFIM,20771350,287
COLEGIO ERNANI CARDOSO,20780140,276
ESCOLA MUNICIPAL MEDEIROS E ALBUQUERQUE,20780170,271
ESCOLA MUNICIPAL RIO DE JANEIRO,20780340,279
COLÉGIO ROSA DE SARON,20970007,270
ESCOLA MUNICIPAL PERNAMBUCO,20785340,271
COLEGIO HELIO ALONSO,20780020,278
GINASIO ESTADUAL CENTRAL DO BRASIL,20775100,271
ESCOLA MUNICIPAL GEORGE SUMMER,20980061,274
ESCOLA MUNICIPAL CÍVICO-MILITAR CARIOCA,20961040,272
ESCOLA MUNICIPAL DELFIM MOREIRA,20975020,276
COLÉGIO ESTADUAL VICENTE JANNUZZI,22793080,285
COLÉGIO SANTO AGOSTINHO,22793720,274
ESCOLA MUNICIPAL ALBERT EINSTEIN,22793620,286
ESCOLA MUNICIPAL FREDERICO TROTTA,22793340,289
ESCOLA MUNICIPAL PROFESSORA ZULEIKA NUNES DE ALENCAR,22793001,286
ESCOLA MUNICIPAL TRISTÃO DE ATHAYDE,22793530,282
ESCOLA MUNICIPAL VICE ALMIRANTE ÁLVARO ALBERTO MOTTA E SILVA,22793380,275
ESCOLA MUNICIPAL DESEMBARGADOR NEY PALMEIRO,22783140,286
ESCOLA MUNICIPAL FINLANDIA,22783116,272
COLÉGIO MX,22785210,288
COLÉGIO NOSSA SENHORA DA RESSURREIÇÃO,22790570,283
COLEGIO RECANTO,22795077,285
ESCOLA MUNICIPAL PROFESSOR CARLOS DELGADO DE CARVALHO,22790650,282
ESCOLA MUNICIPAL RUTH CARDOSO,22790832,271
ESCOLA MUNICIPAL FREI GASPAR,22785620,277
ESCOLA MUNICIPAL PEROLA BYINGTON,22785110,282
ESCOLA MUNICIPAL PROFESSOR TEÓFILO MOREIRA DA COSTA,22785590,283
ESCOLA MUNICIPAL EMBAIXADOR ÍTALO ZAPPA,22783111,280
ESCOLA MUNICIPAL OLEGÁRIO DOMINGUES,22783025,276
ESCOLA MUNICIPAL SÃO SEBASTIÃO,22783430,280
ESCOLA MUNICIPAL BRIGADEIRO FARIA LIMA,20745180,289
ESCOLA MUNICIPAL VIRGILIO DE MELO FRANCO,20740440,280
COLEGIO NACIONAL,21311060,269
COLÉGIO SOUZA MARQUES,21310310,288
ESCOLA MUNICIPAL RUGENDAS,21310260,271
COLÉGIO SÃO JUDAS TADEU,20740321,288
ESCOLA MUNICIPAL TOBIAS BARRETO,20745125,273
ESCOLA MUNICIPAL CARDEAL ARCOVERDE,21310130,281
ESCOLA MUNICIPAL JOSÉ EMYGDIO DE OLIVEIRA,21341140,269
ESCOLA MUNICIPAL MOZART LAGO,21340220,278
ESCOLA MUNICIPAL WALDEMAR FALCÃO,21340420,269
ESCOLA MUNICIPAL WALDOMIRO POTSCH,21340340,273
ESCOLA MUNICIPAL FÉLIX PACHECO,20740260,279
ESCOLA MUNICIPAL REPÚBLICA DE EL SALVADOR,21311280,271
ESCOLA MUNICIPAL SÉRVULO DE LIMA,20740210,278
ESCOLA MUNICIPAL HAITI,21311330,281
ESCOLA MUNICIPAL OSWALDO TEIXEIRA,21311430,275
ESCOLA MUNICIPAL CINCO DE JULHO,21381370,285
ESCOLA MUNICIPAL JAIME COSTA,21381330,276
ESCOLA MUNICIPAL PREFEITO FILADELFO AZEVEDO,21381300,277
ESCOLA MUNICIPAL GOIAS,20756120,276
ESCOLA MUNICIPAL BOLIVAR,20756116,278
ESCOLA MUNICIPAL ENGENHEIRO ROBERTO MAGNO DE CARVALHO,20755110,287
ESCOLA MUNICIPAL HELIO SMIDT,20756115,286
ESCOLA MUNICIPAL FRANCA,21381009,280
ESCOLA MUNICIPAL JOAO KOPKE,20751090,280
ESCOLA MUNICIPAL TAGORE,20756030,272
ESCOLA MUNICIPAL ALAGOAS,20751002,278
ESCOLA MUNICIPAL MARANHAO,20750092,279
ESCOLA MUNICIPAL SUECIA,20750190,286
ESCOLA MUNICIPAL PROFESSOR SOUZA DA SILVEIRA,21380400,279
ESCOLA MUNICIPAL QUINTINO BOCAIÚVA,21380210,280
ESCOLA MUNICIPAL ANTONIO PEREIRA,20750340,285
ESCOLA MUNICIPAL GUATEMALA,20240200,274
COLÉGIO ESTADUAL AMARO CAVALCANTI,22221020,273
COLÉGIO PINHEIRO GUIMARÃES,22221000,284
COLÉGIO SANTO ANTÔNIO MARIA ZACCARIA,22220000,285
COLÉGIO SÃO VICENTE DE PAULO,22241090,284
COLÉGIO ANGELORUM,20241220,273
COLÉGIO FORÇA MÁXIMA,22231140,274
ESCOLA EDEM,22221070,277
ESCOLA MUNICIPAL ALBERT SCHWEITZER,22245120,278
ESCOLA MUNICIPAL SENADOR CORREA,22231180,275
COLÉGIO ESTADUAL MONTEIRO DE CARVALHO,20241263,283
ESCOLA MUNICIPAL SANTA CATARINA,20251460,281
COLEGIO SÃO PAULO,22080030,286
ESCOLA CASTELNUOVO,22080040,286
ESCOLA PENEDO,22080001,285
COLÉGIO NOTRE DAME,22411000,286
COLEGIO PINHEIRO GUIMARAES,22421020,283
ESCOLA HENRIQUE DODSWORTH,22411040,283
ESCOLA MARILIA DE DIRCEU,22420010,280
COLÉGIO ANDRÉ MAUROIS,22450000,275
COLÉGIO SANTO AGOSTINHO,22430220,285
ESCOLA ESTADUAL PROFESSOR ANTÔNIO MARIA TEIXEIRA FILHO,22431000,280
ESCOLA MUNICIPAL SERGIO VIEIRA DE MELLO,22441050,287
COLÉGIO NABE,21060500,287
ESCOLA MUNICIPAL PROFESSORA VERA SABACK SAMPAIO,21061240,275
COLÉGIO VITAL GONÇALVES,20766570,289
JARDIM ESCOLA LUME DE ESTRELAS,20766280,277
ESCOLA MUNICIPAL AFONSO VÁRZEA,21061020,272
COLEGIO PINHEIRO,21073240,288
ESCOLA MUNICIPAL CHILE,21073010,282
ESCOLA MUNICIPAL CLOVIS BEVILACQUA,21073311,284
ESCOLA MUNICIPAL CORONEL ASSUNCAO,21073185,278
JARDIM ESCOLA PALÁCIO VERDE,21073312,278
ESCOLA ESTADUAL OLGA BENARIO PRESTES,21060070,277
ESCOLA MUNICIPAL CARNEIRO RIBEIRO,21060120,275
ESCOLA MUNICIPAL JOAO BARBALHO,21060090,275
ESCOLA TEMPO DE CONSTRUIR,21060110,278
ESCOLA MUNICIPAL MARIA MAZZETTI,21220300,286
ESCOLA MUNICIPAL THOMAS JEFFERSON,21530014,281
ESCOLA MUNICIPAL MENDES VIANA,21235280,285
ESCOLA MUNICIPAL ALFREDO DE PAULA FREITAS,21235500,274
ESCOLA MUNICIPAL ALMIRANTE NEWTON BRAGA DE FARIA,21235111,274
ESCOLA MUNICIPAL CONDE PEREIRA CARNEIRO,21230045,277
ESCOLA MUNICIPAL FRANCISCO SERTÓRIO PORTINHO,21230290,283
ESCOLA MUNICIPAL IRÃ,21231070,281
ESCOLA MUNICIPAL MALBA TAHAN,21231210,269
ESCOLA MUNICIPAL MATO GROSSO,21235130,280
ESCOLA MUNICIPAL OLÍMPIA DO COUTO,21230085,284
ESCOLA MUNICIPAL TARSILA DO AMARAL,21230330,273
COLÉGIO SESON,21535420,285
ESCOLA MUNICIPAL ALEXANDRE DE GUSMÃO,21535130,271
COLEGIO MERCÚRIO,21532470,286
ESCOLA MUNICIPAL ARTUR AZEVEDO,21520460,280
ESCOLA MUNICIPAL DEPUTADO HILTON GAMA,21520410,271
ESCOLA MUNICIPAL EUGÊNIA DUTRA HAMANN,21521330,281
ESCOLA MUNICIPAL MANOEL DE ABREU,21525530,287
ESCOLA MUNICIPAL FRANCISCO PALHETA,21331290,285
COLEGIO ESTADUAL JOEL DE OLIVEIRA,21670200,274
COLEGIO PIO XII,21670410,286
ESCOLA MUNICIPAL BADEN POWELL,21670440,279
COLEGIO MARECHAL LOTT,21660300,276
COLEGIO MERCEDARIO PIO XII MERCES,21660010,286
ESCOLA MUNICIPAL BELGICA,21660130,271
ESCOLA MUNICIPAL EMILIO CARLOS,21675130,271
ESCOLA MUNICIPAL GILBERTO AMADO,21665280,278
ESCOLA MUNICIPAL ISAIAS ALVES,21675040,270
ESCOLA MUNICIPAL MADRE BENEDITA,21670450,287
ESCOLA MUNICIPAL MAURICE MAETERLINK,21660100,284
ESCOLA MUNICIPAL OSWALDO GOELDI,21675310,279
ESCOLA MUNICIPAL PIAUI,21660000,274
ESCOLA MUNICIPAL PROFESSOR ALVARO ESPINHEIRA,21660520,277
ESCOLA MUNICIPAL ROSE KLABIN,21675440,283
COLEGIO AMERICO DE OLIVEIRA,21610220,280
COLEGIO PROGRESSAO,21610210,279
ESCOLA ESTADUAL PROFESSOR JOSE ACCIOLI,21610570,278
ESCOLA MUNICIPAL EVANGELINA DUARTE BATISTA,21610490,271
ESCOLA MUNICIPAL ROSA DA FONSECA,21615140,278
COLÉGIO ESTADUAL BANGU,21840000,283
COLÉGIO ESTADUAL JOÃO SALIM MIGUEL,21862170,288
COLÉGIO ESTADUAL MARIETA CUNHA DA SILVA,21840600,284
COLÉGIO ESTADUAL PROFESSOR DALTRO SANTOS,21840447,270
ESCOLA MUNICIPAL ANA AMÉLIA QUEIROZ CARNEIRO DE MENDONÇA,21870190,287
ESCOLA MUNICIPAL ASTROGILDO PEREIRA,21862300,274
ESCOLA MUNICIPAL MARIETA DA CUNHA DA SILVA,21842030,276
ESCOLA MUNICIPAL PRACINHA JOÃO DA SILVA,21840450,270
ESCOLA MUNICIPAL RAFAEL CORREA DE OLIVEIRA,21860005,286
ESCOLA MUNICIPAL UBALDO DE OLIVEIRA,21870250,284
ESCOLA MUNICIPAL CLEMENTINO FRAGA,21870260,277
ESCOLA MUNICIPAL ROBERTO SIMONSEN,21870310,283
ESCOLA MUNICIPAL JOAQUIM DA COSTA RIBEIRO,21725010,277
ESCOLA MUNICIPAL EDISON CARNEIRO,21843000,284
ESCOLA MUNICIPAL SAMPAIO CORRÊA,21843040,281
COLÉGIO APOLLO 12 (APOLINHO),23550740,275
COLÉGIO ESTADUAL CARLOS CORTES,28614310,273
COLÉGIO DAS MERCÊS,28630040,270
COLÉGIO ESTADUAL DOUTOR GALDINO DO VALLE FILHO,28625140,279
COLÉGIO ESTADUAL PROFESSOR JAMIL EL-JAICK,28625020,281
COLÉGIO NOSSA SENHORA DAS DORES,28610190,283
ESCOLA ESTADUAL JÚLIO SALUSSE,28605300,280
COLÉGIO DOM PEDRO I,28613250,280
COLÉGIO ESTADUAL ETELVINA SCHOTTZ,28600000,271
COLÉGIO ESTADUAL DOUTOR TUFFY EL-JAICK,28630140,276
ESCOLA MUNICIPAL PROFESSORA NAIR DE ARAÚJO RODRIGUES,28630330,279
ESCOLA MUNICIPAL JUSCELINO KUBITSCHEK DE OLIVEIRA,28616260,279
COLÉGIO PENSI,28605170,273
COLÉGIO ESTADUAL DOUTOR JOÃO BAZET,28613560,285
COLEGIO ESTADUAL DOUTOR MARIO GUIMARAES,26220570,279
COLEGIO ESTADUAL CALIFORNIA,26220350,270
COLEGIO ESTADUAL LEOPOLDO MACHADO,26250610,286
COLEGIO ESTADUAL DOM ADRIANO HYPOLITO,26255350,270
COLEGIO ESTADUAL JOAO MUSCH,26255110,278
COLEGIO ESTADUAL MESTRE HIRAN,26255140,281
ESCOLA MUNICIPAL MONTEIRO LOBATO,26221150,273
ESCOLA MUNICIPAL JULIO RABELLO GUIMARAES,26260000,288
ESCOLA MUNICIPAL PROFESSOR RUY DE QUEIROZ,26230590,277
ESCOLA MUNICIPAL PROFESSORA IZABEL DOS SANTOS SOARES MELLO,26250240,284
COLEGIO ESTADUAL MILTON CAMPOS,26285490,287
ESCOLA MUNICIPAL HEITOR DANTAS,26285320,286
COLEGIO ESTADUAL ARRUDA NEGREIROS,26286020,279
COLEGIO ESTADUAL VENINA TORRES,26286160,279
ESCOLA MUNICIPAL DOUTOR RUBENS FALCÃO,26285130,273
ESCOLA MUNICIPAL MARECHAL MASCARENHAS DE MORAES,26285621,271
COLEGIO ESTADUAL ABDIAS NASCIMENTO,26225530,289
ESCOLA MUNICIPAL CAPISTRANO DE ABREU,26225700,279
ESCOLA MUNICIPALIZADA PROFESSORA SARAH FARIA BRAZ,25850000,285
COLEGIO ESTADUAL RUY BARBOSA,25635090,269
ESCOLA DAS COMUNIDADES SANTO ANTONIO,25635130,280
ESCOLA MUNICIPAL GERALDO VENTURA DIAS,25635114,273
ESCOLA MUNICIPAL JOHANN NOEL,25660003,285
ESCOLA MUNICIPAL ANA MOHAMMAD,25635412,271
ESCOLA MUNICIPAL ROBERT KENNEDY,25640322,271
ESCOLA SAO CRISTOVAO,25640040,275
ESCOLA MUNICIPAL SENADOR MARIO MARTINS,25615060,287
COLEGIO ESTADUAL D. PEDRO II,25620000,287
COLEGIO SANTA ISABEL - ASVP,25620180,269
ESCOLA MUNICIPAL MARIA CAMPOS,25610141,274
ESCOLA MUNICIPAL DR. RUBENS DE CASTRO BOMTEMPO,25635370,281
ESCOLA MUNICIPAL PREFEITO JAMIL SABRA,25655171,273
ESCOLA MUNICIPAL JORGE AMADO,25610101,269
ESCOLA MUNICIPAL JOAO KOPKE,25725073,287
ESCOLA SAO FRANCISCO DE ASSIS,25665442,289
ESCOLA GERMANO VALENTE,25625073,273
ESCOLA MUNICIPAL LUIZ CARLOS SOARES,25630110,287
ESCOLA PAROQUIAL NOSSA SENHORA DA GLORIA,25630050,272
ESCOLA MUNICIPAL BATAILLARD,25675160,269
ESCOLA MUNICIPAL SALVADOR KLING,25675016,279
ESCOLA MUNICIPAL SAO JUDAS TADEU,25675012,288
ESCOLA MUNICIPAL SOROPTIMISTA,25670020,287
ESCOLA MUNICIPALIZADA CARMEN NUNES MARTINS,25615171,284
COLÉGIO ESTADUAL PRINCESA ISABEL,25650025,280
ESCOLA MUNICIPAL ODETTE FONSECA,25650001,271
ESCOLA PAROQUIAL BOM JESUS,25650061,275
ESCOLA MUNICIPAL JOAO PAULO II,25645045,276
ESCOLA MUNICIPAL PROFESSORA HERMINIA MATHEUS,25645707,281
ESCOLA MUNICIPAL ROSALINA NICOLAY,25645021,269
ESCOLA MUNICIPALIZADA VILA NOVA ESPERANÇA,27175000,271
ESCOLA ESTADUAL OTÁVIO TEIXEIRA,27185000,283
ESCOLA ESTADUAL MANOEL TEIXEIRA CAMPOS JUNIOR,27197000,287
COLÉGIO ESTADUAL ANTONINA RAMOS FREIRE,27524320,277
COLÉGIO ESTADUAL MARECHAL SOUZA DANTAS,27511380,281
COLÉGIO SANTA ANGELA,27511070,273
ESCOLA ESTADUAL DR. JOÃO MAIA,27511120,272
ESCOLA MUNICIPAL ABRAHÃO HERMANO RIBENBOIN,27525000,285
ESCOLA MUNICIPAL ALGODÃO DOCE,27525170,287
COLÉGIO MUNICIPAL GETÚLIO VARGAS,27525004,273
ESCOLA ESTADUAL LÍDIA PIRES MAGALHÃES,27522130,279
COLÉGIO ESTADUAL PEDRO BRAILE NETO,27510090,273
ESCOLA PROFISSIONAL SAGRADO CORAÇÃO DE JESUS,27511010,288
COLÉGIO DOM BOSCO,27520172,278
ESCOLA MUNICIPAL NOEL DE CARVALHO,27510180,285
