CEP,latitude,longitude
27525120,-22.4810134,-44.4948395
24903680,-22.9339527,-42.8245961
27525122,-22.4810134,-44.4948395
24903685,-22.9339527,-42.8245961
26083335,-22.7400001,-43.5143571
24903690,-22.9339527,-42.8245961
26083340,-22.7394485,-43.5134349
27525133,-22.4810134,-44.4948395
27525134,-22.4789841,-44.4886313
27525135,-22.4788755,-44.4922582
26083345,-22.7415149,-43.5127574
27525138,-22.4810134,-44.4948395
27525140,-22.4810134,-44.4948395
27525141,-22.4810134,-44.4948395
26083350,-22.7409027,-43.5124924
27263000,-22.5276103,-44.1209804
24358230,-22.9523964,-43.0924016
25821210,-22.137492,-43.1688837
23855130,ERRO,ERRO
26083360,-22.7393232,-43.5102054
27263010,-22.5240422,-44.119123
26083365,-22.7416841,-43.51053
25821222,-22.137492,-43.1688837
24903720,-22.9339527,-42.8245961
25821224,-22.1117931,-43.1348458
26083370,-22.7413546,-43.5103955
27525163,-22.4810134,-44.4948395
25821227,-22.137492,-43.1688837
27525164,-22.4805406,-44.4889996
25821230,-22.137492,-43.1688837
26083375,-22.7399835,-43.5104616
27263023,-22.5276103,-44.1209804
25821232,-22.137492,-43.1688837
24903730,-22.9339527,-42.8245961
23855150,ERRO,ERRO
26083380,-22.74046,-43.5103624
27263024,-22.5276103,-44.1209804
25821238,-22.137492,-43.1688837
27263022,-22.5276103,-44.1209804
27263025,-22.5276103,-44.1209804
23855160,ERRO,ERRO
25821234,-22.137492,-43.1688837
25821243,-22.1106849,-43.1340753
25821239,-22.137492,-43.1688837
25821245,-22.11339,-43.2101718
26083390,-22.738851,-43.5125249
25821247,-22.137492,-43.1688837
25821240,-22.1106849,-43.1340753
27525190,-22.4827527,-44.4940414
26083400,-22.7393232,-43.5102054
27263050,-22.5289845,-44.1178399
23855180,-22.8336456,-43.7628803
26083405,-22.7405811,-43.5082171
25821260,-22.1233382,-43.1658908
25821265,-22.1233382,-43.1658908
26083410,-22.738068,-43.5111924
27263060,-22.5266951,-44.1188077
24903765,-22.9339527,-42.8245961
25821270,-22.1147375,-43.1925215
26083415,-22.7393232,-43.5102054
27525210,-22.4809459,-44.4928812
26083420,-22.7370246,-43.5127571
24903773,-22.9339527,-42.8245961
24903775,-22.9339527,-42.8245961
23855200,-22.8585507,-43.7579393
26083425,-22.7373302,-43.5143992
23855202,ERRO,ERRO
25821280,-22.1233896,-43.1707657
24903780,-22.9339527,-42.8245961
23855207,ERRO,ERRO
27263080,-22.524441,-44.1179782
26083435,-22.7341,-43.5137494
24903790,-22.9339527,-42.8245961
27525230,-22.4808527,-44.4959618
26083440,-22.7381917,-43.5141504
27263090,-22.527074,-44.1176438
24903795,-22.9339527,-42.8245961
23855220,-22.8212663,-43.7645634
25821300,-22.0834636,-43.1809927
26083445,-22.7366536,-43.5143024
24903800,-22.9339527,-42.8245961
27525241,-22.4810134,-44.4948395
26083450,-22.7393232,-43.5102054
27525240,-22.4810134,-44.4948395
27263100,-22.5285749,-44.118367
24903805,-22.9339527,-42.8245961
23855230,-22.8336456,-43.7628803
25821310,-22.1222302,-43.1801647
26083455,-22.7354209,-43.5165237
24903810,-22.9339527,-42.8245961
26083460,-22.7337753,-43.5183853
27263110,-22.5241788,-44.1196802
25821320,-22.122686,-43.1823887
26083465,-22.7353377,-43.5145505
27525260,-22.4740400092,-44.4524540451
24903820,-22.9339527,-42.8245961
26083470,-22.7361257,-43.5151943
27263120,-22.5272366,-44.1185034
24903825,-22.9339527,-42.8245961
26083475,-22.7454366,-43.4670386
27525270,-22.4828518,-44.4991609
27263130,-22.5280792,-44.1187512
24903835,-22.9339527,-42.8245961
25821340,-22.137492,-43.1688837
27525280,-22.4833885,-44.4986093
24903840,-22.9339527,-42.8245961
26083490,-22.7351773,-43.5128748
25821350,-22.137492,-43.1688837
23855270,ERRO,ERRO
26083495,-22.7393232,-43.5102054
24903850,-22.9339527,-42.8245961
23855275,ERRO,ERRO
26083505,-22.7349762,-43.5125201
27525300,-22.4794259,-44.4978034
26083510,-22.7393232,-43.5102054
27263160,-22.5273935,-44.1202965
25821370,-22.1234800007,-43.2159946913
27525310,-22.4797521,-44.4963944
26083520,-22.7306169,-43.5152037
27525314,-22.4829387,-44.4965321
25821380,-18.7222067,-44.9428778
23855300,ERRO,ERRO
26083525,-22.7320011,-43.5162265
27525320,-22.4849918,-44.4973436
26083530,-22.7304737,-43.5184687
25821390,-22.1266029,-43.2379471
23855310,ERRO,ERRO
27525330,-22.4846991,-44.4995477
26083540,-22.7309455,-43.516196
26051620,-22.6881691,-43.4546904
23855320,ERRO,ERRO
26083545,-22.7304859,-43.5172844
27525340,-22.4807335,-44.4984556
25821410,-22.137492,-43.1688837
26083555,-22.7293732,-43.5165945
23855330,ERRO,ERRO
27525350,-22.4842334,-44.4976146
26083560,-22.7393232,-43.5102054
27263211,-22.5276103,-44.1209804
25821420,-22.1219427,-43.1650467
26083565,-22.7267761,-43.517777
23855340,ERRO,ERRO
27525360,-22.4770191,-44.4987746
25821425,-22.1222155,-43.165634
27525364,-22.4819013,-44.5051602
27525366,-22.4770527,-44.4977855
26083575,-22.7285151,-43.5179856
25821430,-22.1222155,-43.165634
25821433,-22.1222155,-43.165634
27525370,-22.4770527,-44.4977855
25035000,-22.7665512,-43.3171954
26083580,-22.7269882,-43.5186584
25035005,-22.7633101,-43.3248456
27525372,-22.4770527,-44.4977855
25821440,-22.1290101,-43.1523308
25035008,-22.757161,-43.3025882
26083590,-22.728793,-43.5183828
27525384,-22.4742536,-44.4955949
27525386,-22.4755805,-44.4946322
23855370,-22.8336456,-43.7628803
27525388,-22.4751648,-44.4963113
25821450,-22.1118021,-43.1117129
27525390,-22.4747603,-44.4963555
25821455,-22.1166235,-43.209997
26083600,-22.7271823,-43.5193857
27525392,-22.4744206,-44.4972839
27525394,-22.4741945,-44.4950726
