CEP,latitude,longitude,UF
27525120,-22.4810134,-44.4948395,RJ
24903680,-22.9339527,-42.8245961,RJ
27525122,-22.4810134,-44.4948395,RJ
24903685,-22.9339527,-42.8245961,RJ
26083335,-22.7400001,-43.5143571,RJ
24903690,-22.9339527,-42.8245961,RJ
26083340,-22.7394485,-43.5134349,RJ
27525133,-22.4810134,-44.4948395,RJ
27525134,-22.4789841,-44.4886313,RJ
27525135,-22.4788755,-44.4922582,RJ
26083345,-22.7415149,-43.5127574,RJ
27525138,-22.4810134,-44.4948395,RJ
27525140,-22.4810134,-44.4948395,RJ
27525141,-22.4810134,-44.4948395,RJ
26083350,-22.7409027,-43.5124924,RJ
27263000,-22.5276103,-44.1209804,RJ
24358230,-22.9523964,-43.0924016,RJ
25821210,-22.137492,-43.1688837,RJ
26083360,-22.7393232,-43.5102054,RJ
27263010,-22.5240422,-44.119123,RJ
26083365,-22.7416841,-43.51053,RJ
25821222,-22.137492,-43.1688837,RJ
24903720,-22.9339527,-42.8245961,RJ
25821224,-22.1117931,-43.1348458,RJ
26083370,-22.7413546,-43.5103955,RJ
27525163,-22.4810134,-44.4948395,RJ
25821227,-22.137492,-43.1688837,RJ
27525164,-22.4805406,-44.4889996,RJ
25821230,-22.137492,-43.1688837,RJ
26083375,-22.7399835,-43.5104616,RJ
27263023,-22.5276103,-44.1209804,RJ
25821232,-22.137492,-43.1688837,RJ
24903730,-22.9339527,-42.8245961,RJ
26083380,-22.74046,-43.5103624,RJ
27263024,-22.5276103,-44.1209804,RJ
25821238,-22.137492,-43.1688837,RJ
27263022,-22.5276103,-44.1209804,RJ
27263025,-22.5276103,-44.1209804,RJ
25821234,-22.137492,-43.1688837,RJ
25821243,-22.1106849,-43.1340753,RJ
25821239,-22.137492,-43.1688837,RJ
25821245,-22.11339,-43.2101718,RJ
26083390,-22.738851,-43.5125249,RJ
25821247,-22.137492,-43.1688837,RJ
25821240,-22.1106849,-43.1340753,RJ
27525190,-22.4827527,-44.4940414,RJ
26083400,-22.7393232,-43.5102054,RJ
27263050,-22.5289845,-44.1178399,RJ
23855180,-22.8336456,-43.7628803,RJ
26083405,-22.7405811,-43.5082171,RJ
25821260,-22.1233382,-43.1658908,RJ
25821265,-22.1233382,-43.1658908,RJ
26083410,-22.738068,-43.5111924,RJ
27263060,-22.5266951,-44.1188077,RJ
24903765,-22.9339527,-42.8245961,RJ
25821270,-22.1147375,-43.1925215,RJ
26083415,-22.7393232,-43.5102054,RJ
27525210,-22.4809459,-44.4928812,RJ
26083420,-22.7370246,-43.5127571,RJ
24903773,-22.9339527,-42.8245961,RJ
24903775,-22.9339527,-42.8245961,RJ
23855200,-22.8585507,-43.7579393,RJ
26083425,-22.7373302,-43.5143992,RJ
25821280,-22.1233896,-43.1707657,RJ
24903780,-22.9339527,-42.8245961,RJ
27263080,-22.524441,-44.1179782,RJ
26083435,-22.7341,-43.5137494,RJ
24903790,-22.9339527,-42.8245961,RJ
27525230,-22.4808527,-44.4959618,RJ
26083440,-22.7381917,-43.5141504,RJ
27263090,-22.527074,-44.1176438,RJ
24903795,-22.9339527,-42.8245961,RJ
23855220,-22.8212663,-43.7645634,RJ
25821300,-22.0834636,-43.1809927,RJ
26083445,-22.7366536,-43.5143024,RJ
24903800,-22.9339527,-42.8245961,RJ
27525241,-22.4810134,-44.4948395,RJ
26083450,-22.7393232,-43.5102054,RJ
27525240,-22.4810134,-44.4948395,RJ
27263100,-22.5285749,-44.118367,RJ
24903805,-22.9339527,-42.8245961,RJ
23855230,-22.8336456,-43.7628803,RJ
25821310,-22.1222302,-43.1801647,RJ
26083455,-22.7354209,-43.5165237,RJ
24903810,-22.9339527,-42.8245961,RJ
26083460,-22.7337753,-43.5183853,RJ
27263110,-22.5241788,-44.1196802,RJ
25821320,-22.122686,-43.1823887,RJ
26083465,-22.7353377,-43.5145505,RJ
27525260,-22.4740400092,-44.4524540451,RJ
24903820,-22.9339527,-42.8245961,RJ
26083470,-22.7361257,-43.5151943,RJ
27263120,-22.5272366,-44.1185034,RJ
24903825,-22.9339527,-42.8245961,RJ
26083475,-22.7454366,-43.4670386,RJ
27525270,-22.4828518,-44.4991609,RJ
27263130,-22.5280792,-44.1187512,RJ
24903835,-22.9339527,-42.8245961,RJ
25821340,-22.137492,-43.1688837,RJ
27525280,-22.4833885,-44.4986093,RJ
24903840,-22.9339527,-42.8245961,RJ
26083490,-22.7351773,-43.5128748,RJ
25821350,-22.137492,-43.1688837,RJ
26083495,-22.7393232,-43.5102054,RJ
24903850,-22.9339527,-42.8245961,RJ
26083505,-22.7349762,-43.5125201,RJ
27525300,-22.4794259,-44.4978034,RJ
26083510,-22.7393232,-43.5102054,RJ
27263160,-22.5273935,-44.1202965,RJ
25821370,-22.1234800007,-43.2159946913,RJ
27525310,-22.4797521,-44.4963944,RJ
26083520,-22.7306169,-43.5152037,RJ
27525314,-22.4829387,-44.4965321,RJ
25821380,-18.7222067,-44.9428778,MG
26083525,-22.7320011,-43.5162265,RJ
27525320,-22.4849918,-44.4973436,RJ
26083530,-22.7304737,-43.5184687,RJ
25821390,-22.1266029,-43.2379471,RJ
27525330,-22.4846991,-44.4995477,RJ
26083540,-22.7309455,-43.516196,RJ
26051620,-22.6881691,-43.4546904,RJ
26083545,-22.7304859,-43.5172844,RJ
27525340,-22.4807335,-44.4984556,RJ
25821410,-22.137492,-43.1688837,RJ
26083555,-22.7293732,-43.5165945,RJ
27525350,-22.4842334,-44.4976146,RJ
26083560,-22.7393232,-43.5102054,RJ
27263211,-22.5276103,-44.1209804,RJ
25821420,-22.1219427,-43.1650467,RJ
26083565,-22.7267761,-43.517777,RJ
27525360,-22.4770191,-44.4987746,RJ
25821425,-22.1222155,-43.165634,RJ
27525364,-22.4819013,-44.5051602,RJ
27525366,-22.4770527,-44.4977855,RJ
26083575,-22.7285151,-43.5179856,RJ
25821430,-22.1222155,-43.165634,RJ
25821433,-22.1222155,-43.165634,RJ
27525370,-22.4770527,-44.4977855,RJ
25035000,-22.7665512,-43.3171954,RJ
26083580,-22.7269882,-43.5186584,RJ
25035005,-22.7633101,-43.3248456,RJ
27525372,-22.4770527,-44.4977855,RJ
25821440,-22.1290101,-43.1523308,RJ
25035008,-22.757161,-43.3025882,RJ
26083590,-22.728793,-43.5183828,RJ
27525384,-22.4742536,-44.4955949,RJ
27525386,-22.4755805,-44.4946322,RJ
23855370,-22.8336456,-43.7628803,RJ
27525388,-22.4751648,-44.4963113,RJ
25821450,-22.1118021,-43.1117129,RJ
27525390,-22.4747603,-44.4963555,RJ
25821455,-22.1166235,-43.209997,RJ
26083600,-22.7271823,-43.5193857,RJ
27525392,-22.4744206,-44.4972839,RJ
27525394,-22.4741945,-44.4950726,RJ
25821460,-22.1118021,-43.1117129,RJ
23855380,-22.8374104,-43.7112004,RJ
27525398,-22.4734995,-44.4965118,RJ
26083605,-22.728491,-43.5199859,RJ
25035030,-22.764269,-43.308494,RJ
27525396,-22.4739143,-44.4964559,RJ
26083610,-22.7317741,-43.5193075,RJ
25035035,-22.7600138,-43.3077331,RJ
25821470,-22.1275437,-43.1526648,RJ
26083615,-22.7393232,-43.5102054,RJ
27525410,-22.4755756,-44.5068264,RJ
25821475,-22.1118021,-43.1117129,RJ
25035050,-22.7599274,-43.3062482,RJ
25821484,-22.1118021,-43.1117129,RJ
25821490,-22.1118021,-43.1117129,RJ
25821491,-22.1118021,-43.1117129,RJ
25821492,-22.1118021,-43.1117129,RJ
25821500,-22.1283514,-43.1511471,RJ
25035070,-22.7614506,-43.3050533,RJ
27525440,-22.4709659,-44.4513347,RJ
25035090,-22.7615492,-43.3038748,RJ
27525460,-22.4765796,-44.5068804,RJ
25035095,-22.7865672,-43.3089653,RJ
27525464,-22.4762214,-44.5072225,RJ
27525466,-22.4709659,-44.4513347,RJ
25821530,-22.1118021,-43.1117129,RJ
27525468,-22.4773257,-44.5067081,RJ
25035100,-22.7600775,-43.3039988,RJ
27525470,-22.477701,-44.5064457,RJ
27525472,-22.4779015,-44.505727,RJ
27263330,-22.5242024,-44.124827,RJ
27525474,-22.4709659,-44.4513347,RJ
25821540,-22.127418,-43.1508897,RJ
25035110,-22.7588288,-43.305652,RJ
27525480,-22.4761331,-44.5035526,RJ
27525484,-22.4765863,-44.5053036,RJ
27263340,-22.524087,-44.1262633,RJ
25821550,-22.1296947,-43.1511221,RJ
27263350,-22.5244138,-44.1254234,RJ
25821560,-22.129152,-43.1481037,RJ
25821564,-22.1118021,-43.1117129,RJ
27525504,-22.475277,-44.5015875,RJ
25821570,-22.1118021,-43.1117129,RJ
27525506,-22.4755464,-44.5022512,RJ
25035140,-22.7629076,-43.3065159,RJ
27525510,-22.4762581,-44.4988019,RJ
27525512,-22.4709659,-44.4513347,RJ
27263370,-22.5228444,-44.1239373,RJ
27525514,-22.4709659,-44.4513347,RJ
25821580,-22.1118021,-43.1117129,RJ
25035150,-22.7600138,-43.3077331,RJ
27525520,-22.4885434,-44.5038704,RJ
27263380,-22.5230558,-44.1231086,RJ
27525524,-22.4535269,-44.39095,RJ
27263390,-22.5249628,-44.1252075,RJ
25821600,-22.1118021,-43.1117129,RJ
25035170,-22.7687938,-43.3223209,RJ
27525540,-22.4724838,-44.5038344,RJ
24904100,-22.9339527,-42.8245961,RJ
25035175,-22.7525417,-43.3067086,RJ
27263400,-22.5249628,-44.1252075,RJ
27525544,-22.4732735,-44.5040936,RJ
25821610,-22.1118021,-43.1117129,RJ
27525548,-22.4722872,-44.5022042,RJ
27525550,-22.4722872,-44.5022042,RJ
24904110,-22.9339527,-42.8245961,RJ
27525552,-22.4722512,-44.5022126,RJ
25035185,-22.756182,-43.3054448,RJ
27525554,-22.4726582,-44.502134,RJ
24904115,-22.9339527,-42.8245961,RJ
27525560,-22.4709659,-44.4513347,RJ
27525562,-22.4709659,-44.4513347,RJ
24904125,-22.9339527,-42.8245961,RJ
25821630,-22.1420839,-43.1541276,RJ
25035200,-22.7558884,-43.3036405,RJ
24904130,-22.9339527,-42.8245961,RJ
27263430,-22.5245692,-44.1257837,RJ
24904135,-22.9339527,-42.8245961,RJ
27263431,-22.5233498,-44.118809,RJ
25821640,-22.1420839,-43.1541276,RJ
25035210,-22.7523096,-43.2739077,RJ
27250041,-22.5077893,-44.0651235,RJ
27525580,-22.4709659,-44.4513347,RJ
27263432,-22.5212979,-44.116815,RJ
27525582,-22.4709659,-44.4513347,RJ
27525584,-22.4746766,-44.5012925,RJ
27525586,-22.4709659,-44.4513347,RJ
25821650,-22.110159996,-43.209,RJ
25035220,-22.7588551,-43.3034067,RJ
27525590,-22.4763524,-44.499908,RJ
27525592,-22.4819013,-44.5051602,RJ
27525594,-22.4818191,-44.5069454,RJ
27525596,-22.4709659,-44.4513347,RJ
25821660,-22.1420839,-43.1541276,RJ
25035230,-22.7513859,-43.3064758,RJ
27525598,-22.4830583,-44.5049728,RJ
20972000,-22.8844136,-43.2562996,RJ
27525600,-22.4887659,-44.5029748,RJ
25821670,-22.1420839,-43.1541276,RJ
27525608,-22.4908007,-44.5019792,RJ
20972010,-22.8874249,-43.2593245,RJ
27525610,-22.4747603,-44.4963555,RJ
27525612,-22.4897882,-44.502495,RJ
25035245,-22.7555893,-43.3126197,RJ
27263470,-22.5290876,-44.1164933,RJ
25035247,-22.7450612,-43.3215766,RJ
25821680,-22.1420839,-43.1541276,RJ
25821678,-22.1420839,-43.1541276,RJ
27525618,-22.4877647,-44.503462,RJ
28180970,-21.48509,-41.616893,RJ
25035252,-22.7701617,-43.3372564,RJ
25035253,-22.7523096,-43.2739077,RJ
27525622,-22.4867278,-44.5039623,RJ
27525620,-22.4872583,-44.5037172,RJ
25035255,-22.7600138,-43.3077331,RJ
27525624,-22.4862271,-44.5042033,RJ
27263480,-22.5219369,-44.1200905,RJ
27250050,-22.5077893,-44.0651235,RJ
25035260,-22.7543199,-43.304458,RJ
27525628,-22.4851982,-44.5047091,RJ
27525630,-22.4846906,-44.5049551,RJ
27525632,-18.8967689,-48.2598841,MG
24904200,-22.9339527,-42.8245961,RJ
27525640,-22.4709659,-44.4513347,RJ
27525642,-22.4709659,-44.4513347,RJ
27263500,-22.5215306,-44.117424,RJ
27525644,-22.49242,-44.5032745,RJ
27525646,-22.4709659,-44.4513347,RJ
27263505,-22.5238223,-44.1215048,RJ
27525650,-22.4763524,-44.499908,RJ
24904210,-22.9339527,-42.8245961,RJ
27525652,-22.4809674,-44.5029191,RJ
27263510,-22.5214013,-44.118856,RJ
27525656,-22.4797914,-44.5079174,RJ
25035290,-22.7608627,-43.311092,RJ
24904220,-22.9339527,-42.8245961,RJ
27525660,-22.4795955,-44.5061572,RJ
25035292,-22.7592519,-43.3110002,RJ
20972060,-22.8618084,-43.2779258,RJ
25035296,-22.7604229,-43.3109115,RJ
20972065,-22.8923272,-43.2581953,RJ
27525666,-22.477794,-44.5030606,RJ
24904225,-22.9339527,-42.8245961,RJ
27525668,-22.4785126,-44.5035676,RJ
25035300,-22.7523096,-43.2739077,RJ
24904230,-22.9339527,-42.8245961,RJ
27525670,-22.478997,-44.5035498,RJ
27525672,-22.4801216,-44.5033112,RJ
20972070,-22.8871264,-43.2586911,RJ
27525674,-22.4805476,-44.5031166,RJ
24904235,-22.9339527,-42.8245961,RJ
27263530,-22.523643,-44.1217945,RJ
25035310,-22.7577446,-43.3104509,RJ
27525678,-22.4813883,-44.5027162,RJ
24904240,-22.9339527,-42.8245961,RJ
27525684,-22.4786788,-44.5013451,RJ
24904245,-22.9339527,-42.8245961,RJ
25035320,-22.755383,-43.312237,RJ
24904255,-22.9339527,-42.8245961,RJ
25035330,-22.7557953,-43.3130008,RJ
27263555,-22.5241152,-44.1199233,RJ
27525700,-22.4727352,-44.4986027,RJ
24904260,-22.9339527,-42.8245961,RJ
20972100,-22.9234476,-43.2325119,RJ
24904265,-22.9339527,-42.8245961,RJ
25035340,-22.7602907,-43.3220107,RJ
27525710,-22.4731879,-44.4990715,RJ
20972110,-22.9391800066,-43.2472763571,RJ
27263570,-22.5232141,-44.121678,RJ
20972116,-22.8857383,-43.2571862,RJ
20972118,-22.8857383,-43.2571862,RJ
